Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.02    0.14 3814024/3814024     unsigned int std::uniform_int_distribution<int>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, unsigned int>(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, unsigned int) [17]
                0.01    0.00 7628048/7628048     std::uniform_int_distribution<int>::param_type::a() const [52]
                0.00    0.00 3814024/3814024     std::uniform_int_distribution<int>::param_type::b() const [104]
-----------------------------------------------
                0.02    0.14 3814024/3814024     int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<int>::param_type const&) [16]
[17]     2.0    0.02    0.14 3814024         unsigned int std::uniform_int_distribution<int>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, unsigned int>(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, unsigned int) [17]
                0.07    0.07 3814024/3814024     std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()() [19]
-----------------------------------------------
                0.00    0.00   65664/33554445     void std::__reverse<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::random_access_iterator_tag) [73]
                0.14    0.00 33488781/33554445     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__find_if<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const> >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const>, std::random_access_iterator_tag) [13]
[18]     1.8    0.14    0.00 33554445         __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++() [18]
-----------------------------------------------
                0.07    0.07 3814024/3814024     unsigned int std::uniform_int_distribution<int>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, unsigned int>(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, unsigned int) [17]
[19]     1.7    0.07    0.07 3814024         std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()() [19]
                0.07    0.00    6113/6113        std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand() [31]
-----------------------------------------------
                0.00    0.13       1/1           main [1]
[20]     1.6    0.00    0.13       1         Graph::Graph::Graph(int) [20]
                0.00    0.13       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::resize(unsigned long) [22]
                0.00    0.00       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::vector() [336]
-----------------------------------------------
                0.00    0.13       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::resize(unsigned long) [22]
[21]     1.6    0.00    0.13       1         std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_default_append(unsigned long) [21]
                0.00    0.12       1/1           std::vector<int, std::allocator<int> >* std::__uninitialized_default_n_a<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::allocator<std::vector<int, std::allocator<int> > >&) [29]
                0.00    0.01       1/3           std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_deallocate(std::vector<int, std::allocator<int> >*, unsigned long) [46]
                0.00    0.00       2/4           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::max_size() const [250]
                0.00    0.00       2/5           std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_get_Tp_allocator() [248]
                0.00    0.00       1/8           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const [238]
                0.00    0.00       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_check_len(unsigned long, char const*) const [302]
                0.00    0.00       1/2           std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_allocate(unsigned long) [280]
                0.00    0.00       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_S_use_relocate() [334]
                0.00    0.00       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_S_relocate(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&) [332]
-----------------------------------------------
                0.00    0.13       1/1           Graph::Graph::Graph(int) [20]
[22]     1.6    0.00    0.13       1         std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::resize(unsigned long) [22]
                0.00    0.13       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_default_append(unsigned long) [21]
                0.00    0.00       2/8           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const [238]
-----------------------------------------------
                0.12    0.00     514/514         std::_Vector_base<int, std::allocator<int> >::_Vector_base() [24]
[23]     1.5    0.12    0.00     514         std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl() [23]
                0.00    0.00     514/516         std::allocator<int>::allocator() [205]
                0.00    0.00     514/1027        std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data() [191]
-----------------------------------------------
                0.00    0.12     514/514         std::vector<int, std::allocator<int> >::vector() [25]
[24]     1.5    0.00    0.12     514         std::_Vector_base<int, std::allocator<int> >::_Vector_base() [24]
                0.12    0.00     514/514         std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl() [23]
-----------------------------------------------
                0.00    0.00       1/514         Graph::Graph::isEulerianCircuit() const [9]
                0.00    0.12     513/514         void std::_Construct<std::vector<int, std::allocator<int> >>(std::vector<int, std::allocator<int> >*) [26]
[25]     1.5    0.00    0.12     514         std::vector<int, std::allocator<int> >::vector() [25]
                0.00    0.12     514/514         std::_Vector_base<int, std::allocator<int> >::_Vector_base() [24]
-----------------------------------------------
                0.00    0.12     513/513         std::vector<int, std::allocator<int> >* std::__uninitialized_default_n_1<false>::__uninit_default_n<std::vector<int, std::allocator<int> >*, unsigned long>(std::vector<int, std::allocator<int> >*, unsigned long) [27]
[26]     1.5    0.00    0.12     513         void std::_Construct<std::vector<int, std::allocator<int> >>(std::vector<int, std::allocator<int> >*) [26]
                0.00    0.12     513/514         std::vector<int, std::allocator<int> >::vector() [25]
                0.00    0.00     513/526853      operator new(unsigned long, void*) [56]
-----------------------------------------------
                0.00    0.12       1/1           std::vector<int, std::allocator<int> >* std::__uninitialized_default_n<std::vector<int, std::allocator<int> >*, unsigned long>(std::vector<int, std::allocator<int> >*, unsigned long) [28]
[27]     1.5    0.00    0.12       1         std::vector<int, std::allocator<int> >* std::__uninitialized_default_n_1<false>::__uninit_default_n<std::vector<int, std::allocator<int> >*, unsigned long>(std::vector<int, std::allocator<int> >*, unsigned long) [27]
                0.00    0.12     513/513         void std::_Construct<std::vector<int, std::allocator<int> >>(std::vector<int, std::allocator<int> >*) [26]
                0.00    0.00     513/2052        std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&) [177]
-----------------------------------------------
                0.00    0.12       1/1           std::vector<int, std::allocator<int> >* std::__uninitialized_default_n_a<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::allocator<std::vector<int, std::allocator<int> > >&) [29]
[28]     1.5    0.00    0.12       1         std::vector<int, std::allocator<int> >* std::__uninitialized_default_n<std::vector<int, std::allocator<int> >*, unsigned long>(std::vector<int, std::allocator<int> >*, unsigned long) [28]
                0.00    0.12       1/1           std::vector<int, std::allocator<int> >* std::__uninitialized_default_n_1<false>::__uninit_default_n<std::vector<int, std::allocator<int> >*, unsigned long>(std::vector<int, std::allocator<int> >*, unsigned long) [27]
-----------------------------------------------
                0.00    0.12       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_default_append(unsigned long) [21]
[29]     1.5    0.00    0.12       1         std::vector<int, std::allocator<int> >* std::__uninitialized_default_n_a<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::allocator<std::vector<int, std::allocator<int> > >&) [29]
                0.00    0.12       1/1           std::vector<int, std::allocator<int> >* std::__uninitialized_default_n<std::vector<int, std::allocator<int> >*, unsigned long>(std::vector<int, std::allocator<int> >*, unsigned long) [28]
-----------------------------------------------
                0.00    0.00  131328/33882765     std::vector<int, std::allocator<int> >::back() [43]
                0.00    0.00  131328/33882765     void std::iter_swap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [75]
                0.10    0.00 33620109/33882765     bool __gnu_cxx::__ops::_Iter_equals_val<int const>::operator()<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [14]
[30]     1.3    0.10    0.00 33882765         __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const [30]
-----------------------------------------------
                0.07    0.00    6113/6113        std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()() [19]
[31]     0.9    0.07    0.00    6113         std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand() [31]
-----------------------------------------------
                0.00    0.00  263169/2297941     Graph::Graph::Connected() const [41]
                0.04    0.01 2034772/2297941     Graph::Graph::hasEdge(int, int) const [2]
[32]     0.7    0.04    0.02 2297941         bool __gnu_cxx::operator!=<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&) [32]
                0.02    0.00 4595882/9987782     __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const [35]
-----------------------------------------------
                0.00    0.00    1026/6895363     Graph::Graph::getVertexDegree(int) const [88]
                0.00    0.00    1027/6895363     Graph::Graph::Connected() const [41]
                0.01    0.00  788994/6895363     Graph::Graph::printGraph() const [42]
                0.04    0.00 6104316/6895363     Graph::Graph::hasEdge(int, int) const [2]
[33]     0.6    0.05    0.00 6895363         std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) const [33]
-----------------------------------------------
                0.00    0.00    1029/525827      void std::deque<int, std::allocator<int> >::_M_push_back_aux<int const&>(int const&) [77]
                0.00    0.00    5149/525827      void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) [76]
                0.00    0.01  130813/525827      std::deque<int, std::allocator<int> >::push_back(int const&) [51]
                0.01    0.02  388836/525827      std::vector<int, std::allocator<int> >::push_back(int const&) [38]
[34]     0.5    0.01    0.03  525827         void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&) [34]
                0.02    0.01  525827/525827      void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&) [37]
                0.00    0.00  525827/1057832     int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [109]
-----------------------------------------------
                0.00    0.00    1026/9987782     int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) [89]
                0.00    0.00  527372/9987782     bool __gnu_cxx::operator==<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&) [71]
                0.02    0.00 4595882/9987782     bool __gnu_cxx::operator!=<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&) [32]
                0.02    0.00 4863502/9987782     __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&) [40]
[35]     0.4    0.04    0.00 9987782         __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const [35]
-----------------------------------------------
                0.00    0.00  131328/6765068     std::vector<int, std::allocator<int> >::cbegin() const [74]
                0.01    0.00 2299484/6765068     std::vector<int, std::allocator<int> >::begin() const [50]
                0.02    0.00 4334256/6765068     std::vector<int, std::allocator<int> >::end() const [39]
[36]     0.4    0.03    0.00 6765068         __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&) [36]
-----------------------------------------------
                0.02    0.01  525827/525827      void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&) [34]
[37]     0.4    0.02    0.01  525827         void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&) [37]
                0.01    0.00  525827/526853      operator new(unsigned long, void*) [56]
                0.00    0.00  525827/1057832     int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [109]
-----------------------------------------------
                0.00    0.01  131329/393985      Graph::Graph::isEulerianCircuit() const [9]
                0.00    0.02  262656/393985      Graph::Graph::addEdge(int, int) [10]
[38]     0.4    0.00    0.03  393985         std::vector<int, std::allocator<int> >::push_back(int const&) [38]
                0.01    0.02  388836/525827      void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&) [34]
                0.00    0.00    5149/5149        void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) [76]
                0.00    0.00    5149/596024      std::vector<int, std::allocator<int> >::end() [111]
-----------------------------------------------
                0.00    0.00     513/4334256     Graph::Graph::Connected() const [41]
                0.00    0.00     513/4334256     std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [87]
                0.00    0.00  263686/4334256     std::vector<int, std::allocator<int> >::empty() const [67]
                0.01    0.02 4069544/4334256     Graph::Graph::hasEdge(int, int) const [2]
[39]     0.4    0.01    0.02 4334256         std::vector<int, std::allocator<int> >::end() const [39]
                0.02    0.00 4334256/6765068     __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&) [36]
-----------------------------------------------
                0.00    0.00  131328/2431751     std::vector<int, std::allocator<int> >::erase(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) [44]
                0.01    0.02 2300423/2431751     __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__find_if<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const> >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const>, std::random_access_iterator_tag) [5]
[40]     0.3    0.01    0.02 2431751         __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&) [40]
                0.02    0.00 4863502/9987782     __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const [35]
-----------------------------------------------
                0.00    0.02       1/1           Graph::Graph::isEulerianCircuit() const [9]
[41]     0.3    0.00    0.02       1         Graph::Graph::Connected() const [41]
                0.00    0.01  263682/263682      std::vector<bool, std::allocator<bool> >::operator[](unsigned long) [62]
                0.00    0.00  263169/2297941     bool __gnu_cxx::operator!=<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&) [32]
                0.00    0.01       1/1           std::allocator<bool>::allocator() [66]
                0.00    0.00  262656/503165145     __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator++() [7]
                0.00    0.00  262656/504937261     __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator*() const [8]
                0.00    0.00     513/513         std::queue<int, std::deque<int, std::allocator<int> > >::push(int const&) [78]
                0.00    0.00     513/513         std::queue<int, std::deque<int, std::allocator<int> > >::pop() [86]
                0.00    0.00     514/263686      std::vector<int, std::allocator<int> >::empty() const [67]
                0.00    0.00    1027/6895363     std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) const [33]
                0.00    0.00     513/4334256     std::vector<int, std::allocator<int> >::end() const [39]
                0.00    0.00     513/2299484     std::vector<int, std::allocator<int> >::begin() const [50]
                0.00    0.00       1/1           std::vector<bool, std::allocator<bool> >::vector(unsigned long, bool const&, std::allocator<bool> const&) [97]
                0.00    0.00  263169/263169      std::_Bit_reference::operator bool() const [126]
                0.00    0.00     514/514         std::queue<int, std::deque<int, std::allocator<int> > >::empty() const [208]
                0.00    0.00     513/513         std::_Bit_reference::operator=(bool) [216]
                0.00    0.00     513/513         std::queue<int, std::deque<int, std::allocator<int> > >::front() [219]
                0.00    0.00       1/1           std::allocator<bool>::~allocator() [306]
                0.00    0.00       1/1           std::queue<int, std::deque<int, std::allocator<int> > >::queue<std::deque<int, std::allocator<int> >, void>() [328]
                0.00    0.00       1/1           std::queue<int, std::deque<int, std::allocator<int> > >::~queue() [329]
                0.00    0.00       1/1           std::vector<bool, std::allocator<bool> >::~vector() [338]
-----------------------------------------------
                0.01    0.01       1/1           main [1]
[42]     0.2    0.01    0.01       1         Graph::Graph::printGraph() const [42]
                0.01    0.00  788994/6895363     std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) const [33]
                0.00    0.00     513/263686      std::vector<int, std::allocator<int> >::empty() const [67]
                0.00    0.00  525825/810619      std::vector<int, std::allocator<int> >::size() const [110]
                0.00    0.00  262656/262656      std::vector<int, std::allocator<int> >::operator[](unsigned long) const [133]
-----------------------------------------------
                0.00    0.02  131328/131328      Graph::Graph::isEulerianCircuit() const [9]
[43]     0.2    0.00    0.02  131328         std::vector<int, std::allocator<int> >::back() [43]
                0.01    0.00  131328/131328      __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator-(long) const [45]
                0.00    0.00  131328/33882765     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const [30]
                0.00    0.00  131328/596024      std::vector<int, std::allocator<int> >::end() [111]
-----------------------------------------------
                0.01    0.01  131328/131328      Graph::Graph::isEulerianCircuit() const [9]
[44]     0.2    0.01    0.01  131328         std::vector<int, std::allocator<int> >::erase(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) [44]
                0.00    0.00  131328/131328      std::vector<int, std::allocator<int> >::_M_erase(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [70]
                0.00    0.00  131328/2431751     __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&) [40]
                0.00    0.00  131328/131328      std::vector<int, std::allocator<int> >::cbegin() const [74]
                0.00    0.00  131328/267806      std::vector<int, std::allocator<int> >::begin() [114]
                0.00    0.00  131328/393780      __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator+(long) const [113]
-----------------------------------------------
                0.01    0.00  131328/131328      std::vector<int, std::allocator<int> >::back() [43]
[45]     0.2    0.01    0.00  131328         __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator-(long) const [45]
                0.00    0.00  131328/1388938     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&) [107]
-----------------------------------------------
                0.00    0.01       1/3           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_default_append(unsigned long) [21]
                0.00    0.01       2/3           std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::~_Vector_base() [59]
[46]     0.2    0.00    0.01       3         std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_deallocate(std::vector<int, std::allocator<int> >*, unsigned long) [46]
                0.00    0.01       2/2           std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::deallocate(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*, unsigned long) [48]
-----------------------------------------------
                0.01    0.00       2/2           std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::deallocate(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*, unsigned long) [48]
[47]     0.2    0.01    0.00       2         __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::deallocate(std::vector<int, std::allocator<int> >*, unsigned long) [47]
-----------------------------------------------
                0.00    0.01       2/2           std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_deallocate(std::vector<int, std::allocator<int> >*, unsigned long) [46]
[48]     0.2    0.00    0.01       2         std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::deallocate(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*, unsigned long) [48]
                0.01    0.00       2/2           __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::deallocate(std::vector<int, std::allocator<int> >*, unsigned long) [47]
-----------------------------------------------
                0.01    0.00  131328/131328      Graph::Graph::isEulerianCircuit() const [9]
[49]     0.2    0.01    0.00  131328         std::vector<int, std::allocator<int> >::pop_back() [49]
                0.00    0.00  131328/394498      void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*) [57]
-----------------------------------------------
                0.00    0.00     513/2299484     Graph::Graph::Connected() const [41]
                0.00    0.00     513/2299484     std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [87]
                0.00    0.00  263686/2299484     std::vector<int, std::allocator<int> >::empty() const [67]
                0.00    0.01 2034772/2299484     Graph::Graph::hasEdge(int, int) const [2]
[50]     0.1    0.00    0.01 2299484         std::vector<int, std::allocator<int> >::begin() const [50]
                0.01    0.00 2299484/6765068     __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&) [36]
-----------------------------------------------
                0.00    0.00     513/131842      std::queue<int, std::deque<int, std::allocator<int> > >::push(int const&) [78]
                0.00    0.01  131329/131842      std::stack<int, std::deque<int, std::allocator<int> > >::push(int const&) [63]
[51]     0.1    0.00    0.01  131842         std::deque<int, std::allocator<int> >::push_back(int const&) [51]
                0.00    0.01  130813/525827      void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&) [34]
                0.00    0.00    1029/1029        void std::deque<int, std::allocator<int> >::_M_push_back_aux<int const&>(int const&) [77]
-----------------------------------------------
                0.01    0.00 7628048/7628048     int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<int>::param_type const&) [16]
[52]     0.1    0.01    0.00 7628048         std::uniform_int_distribution<int>::param_type::a() const [52]
-----------------------------------------------
                0.01    0.00 2166100/2166100     __gnu_cxx::__ops::_Iter_equals_val<int const> __gnu_cxx::__ops::__iter_equals_val<int const>(int const&) [54]
[53]     0.1    0.01    0.00 2166100         __gnu_cxx::__ops::_Iter_equals_val<int const>::_Iter_equals_val(int const&) [53]
-----------------------------------------------
                0.00    0.00  131328/2166100     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::find<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) [11]
